,store_num,city,sale_sum,sale_mean,county_num,zip_code,liters_sold_sum,liters_sold_mean,price_per_liter_mean,margin_mean,q1_2015_sales,q1_2016_sales
379,3989,CHEROKEE,18274.31,102.091117318,18,51012,1323.88,7.39597765363,16.0099971841,4.35184357542,1349.19,2144.39
380,3990,OSKALOOSA,42232.0,71.5796610169,62,52577,2897.26,4.91061016949,20.3793192728,5.37993220339,4719.88,6479.73
381,3993,WATERLOO,34470.09,110.481057692,7,50701,1833.19,5.87560897436,21.6756266805,3.99352564103,4056.84,3139.83
382,3995,CEDAR FALLS,53673.78,219.974508197,7,50613,3800.5,15.5758196721,18.221313427,5.46258196721,7464.4,5583.57
383,3997,OSCEOLA,16917.78,179.976382979,20,50213,1242.0,13.2127659574,14.7715704154,5.38585106383,2274.48,1865.52
384,4000,WOODBINE,8100.28,52.2598709677,43,51579,560.45,3.61580645161,15.7111735791,4.23090322581,462.22,1200.39
385,4001,CARROLL,28539.48,162.156136364,14,51401,2276.25,12.9332386364,14.1284036797,5.475,4549.8,2729.94
386,4004,AMES,50066.94,168.575555556,85,50010,3837.0,12.9191919192,14.9087221421,5.26676767677,4924.32,5955.96
387,4006,LARCHWOOD,12202.46,182.126268657,60,51241,791.25,11.8097014925,16.7695735608,5.43432835821,2702.76,656.04
388,4008,ANTHON,10378.52,63.2836585366,97,51004,842.46,5.13695121951,15.5354058546,4.43524390244,1125.12,926.41
389,4010,GLENWOOD,9683.04,112.593488372,65,51534,834.75,9.70639534884,12.1647286822,3.74837209302,677.7,2140.44
390,4011,ALBIA,18949.2,104.691712707,68,52531,1364.17,7.53685082873,16.4559125523,4.64972375691,2568.06,1746.48
391,4013,TIPTON,11681.64,164.530140845,16,52772,762.0,10.7323943662,17.0081488934,4.91070422535,928.32,539.76
392,4014,DENISON,25757.72,143.897877095,24,51442,1876.2,10.4815642458,14.9560627827,5.1687150838,2810.44,1709.46
393,4015,AMES,33505.76,199.439047619,85,50010,2775.6,16.5214285714,16.274005102,5.44369047619,3052.26,3849.0
394,4016,CONRAD,4541.09,63.9590140845,38,50621,410.01,5.77478873239,15.7994782731,5.07084507042,498.26,664.21
395,4018,GLADBROOK,4133.38,55.8564864865,48,50635,388.0,5.24324324324,12.737960103,3.86135135135,526.06,569.53
396,4019,MANCHESTER,33440.88,175.083141361,28,52057,2548.5,13.3429319372,14.5790625779,5.33204188482,2621.04,3196.74
397,4021,FAIRFIELD,24682.14,137.123,51,52556,1791.9,9.955,15.0426772487,5.07788888889,2700.12,3546.42
398,4023,BOONE,28961.34,147.761938776,8,50036,2041.5,10.4158163265,15.1696987366,5.58887755102,4126.8,3381.9
399,4024,IOWA FALLS,11971.88,159.625066667,42,50126,915.0,12.2,16.4259809524,5.04706666667,1543.5,514.2
400,4025,BELLE PLAINE,9643.23,56.7248823529,6,52208,878.67,5.16864705882,15.8668783159,4.15435294118,627.2,1017.01
401,4027,CENTERVILLE,19309.14,126.203529412,4,52544,1575.0,10.2941176471,12.9550357921,4.41588235294,2578.68,1948.2
402,4034,POSTVILLE,4436.5,96.4456521739,3,52162,375.1,8.15434782609,14.2231987578,4.73195652174,230.91,421.84
403,4042,GLENWOOD,5178.12,172.604,65,51534,284.25,9.475,27.3470952381,11.265,1381.54,682.32
404,4046,CENTERVILLE,6711.74,39.4808235294,4,52544,585.51,3.44417647059,15.1218490328,4.23070588235,480.91,878.64
405,4051,MAQUOKETA,25151.31,189.107593985,49,52060,2530.5,19.0263157895,12.8209702828,4.61135338346,1380.93,1421.67
406,4057,DES MOINES,57011.49,170.693083832,77,50316,2751.37,8.23763473054,28.145940228,6.44592814371,4666.05,2910.22
407,4062,DES MOINES,37648.51,98.5563089005,77,50314,1950.91,5.10709424084,22.9495975806,4.51293193717,7191.47,2048.74
408,4067,WELLMAN,12228.07,49.9104897959,90,52356,973.12,3.97191836735,17.273235768,5.06942857143,1403.65,1212.69
409,4068,WEST DES MOINES,25710.82,76.0675147929,77,50265,1520.67,4.49902366864,20.9696737776,4.1750591716,2840.3,3358.46
410,4069,OTTUMWA,21663.09,281.338831169,90,52501,1066.75,13.8538961039,16.5211811998,5.20922077922,881.96,1206.75
411,4070,BELLE PLAINE,24119.53,100.918535565,6,52208,1942.08,8.12585774059,17.4682551305,5.60485355649,2616.41,2382.0
412,4073,FOREST CITY,58423.37,138.444004739,95,50436,4907.48,11.6290995261,14.3933322049,5.21926540284,4487.77,7580.34
413,4077,WATERLOO,19865.76,125.732658228,7,50703,1015.25,6.42563291139,22.5035774563,3.91234177215,2924.56,1756.42
414,4081,STORY CITY,8767.57,71.8653278689,85,50248,824.5,6.75819672131,12.3626034348,3.72713114754,1513.82,597.69
415,4083,ANKENY,34490.2,121.873498233,77,50021,2621.12,9.26190812721,16.7943092714,5.11109540636,3634.2,1844.29
416,4084,ANKENY,21129.84,137.206753247,77,50023,1748.45,11.3535714286,15.5085312307,4.77902597403,2459.12,2254.87
417,4090,WINTHROP,4579.05,143.0953125,10,50682,296.75,9.2734375,17.3329464286,5.8190625,145.68,625.14
418,4091,CLEAR LAKE,22560.21,92.4598770492,17,50428,2148.25,8.80430327869,14.6593813427,4.64040983607,1378.27,2069.42
419,4092,NORWALK,40491.56,368.105090909,91,50211,3428.62,31.1692727273,14.0901082251,4.74481818182,3044.82,13216.5
420,4097,SCHLESWIG,11343.97,54.5383173077,24,51461,784.0,3.76923076923,16.3129578755,5.80745192308,1164.6,736.9
421,4098,WASHINGTON,19789.68,151.066259542,92,52353,1372.5,10.4770992366,14.9326644856,5.03687022901,2008.68,1939.86
422,4102,AMES,17045.72,79.6528971963,85,50010,1711.75,7.9988317757,12.912623498,4.02752336449,1645.57,1479.09
423,4103,AMES,23885.68,138.067514451,85,50010,1550.2,8.96069364162,16.6746903386,5.20150289017,2305.71,4129.95
424,4104,MASON CITY,34086.61,286.44210084,17,50401,3560.05,29.9163865546,11.7002721088,4.47243697479,10336.8,5071.95
425,4105,NEVADA,15694.81,59.4500378788,85,50201,1370.0,5.18939393939,15.1636525974,4.80446969697,1060.63,1865.94
426,4106,DUBUQUE,7576.84,39.0558762887,31,52002,767.96,3.95855670103,15.3546567773,3.68525773196,819.15,751.42
427,4107,BOONE,34559.88,116.363232323,8,50036,2789.45,9.39208754209,15.3148308482,5.00471380471,11571.03,2316.62
428,4110,PARKERSBURG,11399.85,134.115882353,12,50665,1023.0,12.0352941176,11.6211988796,4.44364705882,567.36,2684.58
429,4112,NORTH LIBERTY,13860.47,135.886960784,52,52317,913.95,8.96029411765,16.6214845938,5.1931372549,3104.52,
430,4114,ATLANTIC,17360.61,102.725502959,15,50022,1187.52,7.02674556213,22.5893033249,6.78100591716,1321.12,1613.23
431,4116,LAKE VIEW,6490.94,127.273333333,81,51450,450.5,8.83333333333,19.7489822596,5.79725490196,477.9,744.3
432,4118,LAKE VIEW,15101.38,105.604055944,81,51450,1281.25,8.95979020979,13.7493639694,4.81853146853,1704.07,1490.31
433,4119,CEDAR FALLS,8980.4,179.608,7,50613,517.0,10.34,19.0166857143,5.6064,438.12,987.06
434,4125,WAPELLO,6695.54,45.8598630137,58,52653,560.1,3.83630136986,13.9087875082,3.9295890411,618.69,688.74
435,4126,SOLON,20965.95,151.927173913,52,52333,1530.0,11.0869565217,15.4710697032,4.88739130435,1787.07,3469.65
436,4129,AMES,87409.42,70.095765838,85,50010,4272.63,3.42632718524,23.2846046485,6.22158781075,9194.19,12653.76
437,4130,KEOSAUQUA,4443.24,138.85125,89,52565,343.5,10.734375,13.8914285714,4.7803125,441.72,532.98
438,4131,URBANDALE,21663.34,166.641076923,77,50322,1473.25,11.3326923077,15.3697875458,4.53069230769,1489.8,3885.39
439,4132,CAMANCHE,15437.65,111.062230216,23,52730,1164.59,8.37834532374,15.3524095022,4.52424460432,2473.38,2239.38
440,4133,WEBSTER CITY,6645.1,85.1935897436,40,50595,582.37,7.46628205128,14.4100839438,4.29538461538,941.32,604.84
441,4134,PLEASANTVILLE,8456.38,51.8796319018,63,50225,717.91,4.40435582822,16.3080194351,4.85472392638,1583.22,867.73
442,4135,ALTOONA,24556.02,258.484421053,77,50009,1785.5,18.7947368421,15.619047619,4.76589473684,1525.35,662.76
443,4136,GRIMES,19635.15,167.821794872,77,50111,1393.35,11.908974359,15.9022140822,5.33153846154,1565.76,2736.54
444,4137,WAUKEE,18805.59,107.460514286,25,50263,1365.5,7.80285714286,16.155352381,4.7924,1782.57,1921.59
445,4138,INDIANOLA,16258.22,99.7436809816,91,50125,1572.0,9.64417177914,13.3244288636,4.38656441718,1523.58,1232.25
446,4140,DES MOINES,22079.4,126.893103448,77,50313,2345.95,13.4824712644,14.8904625635,4.235,1978.37,2465.74
447,4141,DES MOINES,10341.11,149.87115942,77,50320,1157.25,16.7717391304,14.0407177364,4.17811594203,531.57,647.28
448,4143,LAWLER,9644.54,235.232682927,19,52154,574.5,14.012195122,17.1579907085,5.77853658537,684.0,544.44
449,4146,WAVERLY,12479.78,56.2152252252,9,50677,954.55,4.29977477477,15.5204869155,4.64594594595,1378.46,1628.85
450,4147,CEDAR FALLS,38036.2,207.848087432,7,50613,3725.25,20.356557377,15.3517564403,5.01027322404,6074.68,2584.37
