,,,,Margin,Dollars,Dollars,Dollars,Sale_Date,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,day_of_sale,DaysOpen,AverageSalesPerDay,MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),MarginRatio,Dollars,Dollars,Margin,Volume Sold (Liters),Volume Sold (Liters),Dominant_Sale_Category
,,,,Mean2015,AverageDollars2015,NumberOfSales2015,TotalDollars2015,DaysOpenTemp,AverageVolume2015,TotalVolume2015,Median2015,DaysOpenTemp,,,Median2015q1,AverageDollars2015q1,TotalDollars2015q1,Mean2015q1,AverageVolume2015q1,TotalVolume2015q1,Median2016q1,AverageDollars2016q1,TotalDollars2016q1,Mean2016q1,AverageVolume2016q1,TotalVolume2016q1,
Store Number,Zip Code,City,County Number,,,,,,,,,,,,,,,,,,,,,,,,
2523,52544,CENTERVILLE,4.0,4.73505,88.692125,400.0,35476.85,1970-01-01 00:00:00.000000052,7.95765,3183.06,0.333333333333,3,3,2.5641025641,0.333333333333,72.6726744186,6249.85,4.09488372093,5.85186046512,503.26,0.333333333333,151.167564103,11791.07,5.35923076923,11.833974359,923.05,
2524,52001,DUBUQUE,31.0,5.35607503608,149.361587302,693.0,103507.58,1970-01-01 00:00:00.000000052,9.70878787879,6728.19,0.333333333333,4,4,3.33173076923,0.333443054641,130.007548387,20151.17,5.06806451613,9.41058064516,1458.64,0.333333333333,129.6038,25920.76,5.1463,8.3478,1669.56,
2527,50315,DES MOINES,77.0,4.75634453782,118.342542017,476.0,56331.05,1970-01-01 00:00:00.000000053,9.22792016807,4392.49,0.333333333333,4,4,2.28846153846,0.333333333333,108.703577982,11848.69,4.51155963303,7.96834862385,868.55,0.333333333333,92.4905309735,10451.43,4.89522123894,7.17300884956,810.55,
2528,50315,DES MOINES,77.0,4.53581395349,187.906124031,645.0,121199.45,1970-01-01 00:00:00.000000100,11.9380620155,7700.05,0.333333333333,6,6,2.06730769231,0.333361115742,115.505337079,20559.95,4.82971910112,8.35337078652,1486.9,0.333333333333,125.87625,16112.16,4.509375,9.051171875,1158.55,
2529,52405,CEDAR RAPIDS,57.0,4.07774193548,76.5582795699,465.0,35599.6,1970-01-01 00:00:00.000000052,7.97772043011,3709.64,0.333333333333,3,3,2.98076923077,0.333333333333,53.5843877551,5251.27,3.60418367347,5.30642857143,520.03,0.333333333333,55.2668253968,6963.62,3.76079365079,4.94857142857,623.52,
2532,50317,DES MOINES,77.0,4.32634382567,128.832905569,413.0,53207.99,1970-01-01 00:00:00.000000055,10.3008474576,4254.25,0.333440411179,5,5,1.58846153846,0.333440411179,131.733033708,11724.24,4.18662921348,10.5741573034,941.1,0.333333333333,123.240340909,10845.15,4.12534090909,10.0238636364,882.1,
2535,50265,WEST DES MOINES,77.0,5.31488843813,142.783306288,493.0,70392.17,1970-01-01 00:00:00.000000060,9.87430020284,4868.03,0.333333333333,5,5,1.89615384615,0.333333333333,212.634766355,22751.92,5.28654205607,16.2504672897,1738.8,0.333333333333,98.2107758621,11392.45,5.13077586207,7.22870689655,838.53,
2536,50317,PLEASANT HILL,77.0,5.82893542757,119.016387435,573.0,68196.39,1970-01-01 00:00:00.000000061,8.16261780105,4677.18,0.333333333333,4,4,2.75480769231,0.333388493037,112.414459459,16637.34,5.71709459459,7.41033783784,1096.73,0.333333333333,99.6994029851,13359.72,5.35805970149,7.71373134328,1033.64,
2538,50702,WATERLOO,7.0,5.2956119403,82.280761194,670.0,55128.11,1970-01-01 00:00:00.000000052,5.71940298507,3832.0,0.333333333333,3,3,4.29487179487,0.333333333333,67.37175,10779.48,5.11225,5.5119375,881.91,0.333333333333,77.0524170616,16258.06,5.05876777251,5.51639810427,1163.96,
2539,50126,IOWA FALLS,42.0,5.41199513382,159.254768856,411.0,65453.71,1970-01-01 00:00:00.000000051,11.4385888078,4701.26,0.333333333333,3,3,2.63461538462,0.333333333333,147.881578947,14048.75,5.30410526316,10.3687368421,985.03,0.333333333333,131.526509434,13941.81,5.3858490566,10.6314150943,1126.93,
