,store_number,zip_code,city,county_name,margin_mean_2015,avg_rev_2015,vol_sales_2015,total_rev_2015,sale_date_(to_delete),avg_vol_2015_litre,total_vol_2015_litre,margin_ratio_2015,day_of_sale,days_open,avg_sales_per_day,margin_ratio_2015_q1,avg_rev_2015_q1,vol_sales_2015_q1,margin_mean_2015_q1,avg_vol_2015_q1__litre,total_vol_2015_q1__litre,margin_ratio_2016_q1,avg_rev_2016_q1,vol_sales_2016_q1,margin_mean_2016_q1,avg_vol_2016_q1__litre,total_vol_2016_q1__litre,Dominant_Sale_Category_(to_delete),forecast_2016
288,3868.0,52302.0,MARION,57.0,5.23703601108,168.732797784,361.0,60912.54,1970-01-01 00:00:00.000000052,13.4002770083,4837.5,0.333333333333,3.0,3.0,2.3141025641,0.333333333333,159.826588235,13585.26,5.04023529412,14.1529411765,1203.0,0.333441834269,165.099705882,11226.78,5.38411764706,12.4632352941,847.5,,47324.528646
289,3869.0,52241.0,CORALVILLE,52.0,5.66982300885,51.6963864307,678.0,35050.15,1970-01-01 00:00:00.000000052,2.60287610619,1764.75,0.333333333333,3.0,3.0,4.34615384615,0.333333333333,54.1921969697,7153.37,5.16060606061,3.02666666667,399.52,0.333333333333,54.8931891892,10155.24,6.32686486486,2.22686486486,411.97,,42876.7777906
290,3870.0,50009.0,ALTOONA,77.0,6.235,180.543333333,54.0,9749.34,1970-01-01 00:00:00.000000020,9.58333333333,517.5,0.333468067906,3.0,3.0,0.346153846154,0.333503995899,145.365,1744.38,5.0925,9.5,114.0,0.333333333333,180.5325,1444.26,6.665,9.75,78.0,,6719.22067999
291,3872.0,52003.0,DUBUQUE,31.0,6.15682926829,163.737073171,41.0,6713.22,1970-01-01 00:00:00.000000022,8.78048780488,360.0,0.333443054641,2.0,2.0,0.394230769231,0.333382730686,168.86,2026.32,5.61833333333,8.5,102.0,0.333483958427,184.374545455,2028.12,6.20363636364,9.40909090909,103.5,,9142.70819743
292,3873.0,52241.0,CORALVILLE,52.0,5.68773195876,175.477731959,97.0,17021.34,1970-01-01 00:00:00.000000040,10.0824742268,978.0,0.333410780669,2.0,2.0,0.932692307692,0.333483958427,165.512,2482.68,5.68666666667,10.4,156.0,0.333481547354,164.316923077,2136.12,5.73615384615,9.0,117.0,,9590.99486184
293,3876.0,50563.0,MANSON,13.0,4.2697826087,69.4332608696,92.0,6387.86,1970-01-01 00:00:00.000000037,5.35456521739,492.62,0.333333333333,2.0,2.0,0.884615384615,0.333333333333,47.2568,1181.42,3.5348,4.3048,107.62,0.333333333333,73.2663636364,1611.86,3.74590909091,5.72727272727,126.0,,7414.89517032
294,3879.0,51106.0,SIOUX CITY,97.0,6.54057971014,171.084637681,69.0,11804.84,1970-01-01 00:00:00.000000030,9.44782608696,651.9,0.333456153279,2.0,2.0,0.663461538462,0.333501006036,140.16,2242.56,4.6475,9.46875,151.5,0.333423636871,183.882,1838.82,6.877,9.6,96.0,,8356.96129397
295,3881.0,50158.0,MARSHALLTOWN,64.0,6.57478991597,196.180210084,238.0,46690.89,1970-01-01 00:00:00.000000056,11.1731092437,2659.2,0.333333333333,4.0,4.0,1.14423076923,0.333333333333,178.815245902,10907.73,5.78639344262,11.006557377,671.4,0.333389601621,193.916065574,11828.88,6.61295081967,10.6524590164,649.8,,49823.7268001
296,3882.0,52802.0,DAVENPORT,82.0,3.07304347826,54.0145652174,92.0,4969.34,1970-01-01 00:00:00.000000032,4.56239130435,419.74,0.333333333333,3.0,3.0,0.589743589744,0.333333333333,52.7288461538,1370.95,2.52076923077,4.81076923077,125.08,0.333333333333,71.02625,1136.42,3.501875,5.575,89.2,,5441.43765432
297,3886.0,52205.0,ANAMOSA,53.0,5.19794326241,214.005531915,141.0,30174.78,1970-01-01 00:00:00.000000047,16.9255319149,2386.5,0.333483958427,3.0,3.0,0.903846153846,0.333486660534,211.746428571,5928.9,5.28392857143,15.6428571429,438.0,0.333439187044,201.196363636,6639.48,5.61545454545,14.3181818182,472.5,,28283.5525752
298,3888.0,50112.0,GRINNELL,79.0,5.27016528926,165.862809917,121.0,20069.4,1970-01-01 00:00:00.000000045,12.7561983471,1543.5,0.333480760725,2.0,2.0,1.16346153846,0.333333333333,175.857777778,4748.16,5.64074074074,12.2777777778,331.5,0.333333333333,151.24875,2419.98,5.251875,9.9375,159.0,,10769.2416448
299,3889.0,50677.0,WAVERLY,9.0,5.09317307692,204.720576923,104.0,21290.94,1970-01-01 00:00:00.000000047,18.1586538462,1888.5,0.333333333333,3.0,3.0,0.666666666667,0.33347826087,182.727096774,5664.54,4.56870967742,15.8225806452,490.5,0.333468067906,178.172727273,5879.7,5.31272727273,16.9545454545,559.5,,25129.8558911
