company,culture,job_addr,job_description,job_posted,job_security_advance,job_title,link,management,reviews_score,reviews_total,salary,salary_benefits,salary_bins,work_life_bal,salary_bins_int
University of Chicago,4.1,"Chicago, IL","
May analyze data and make recommendations regarding the business operations of the Section. Effectively utilizes and orients others to patient databases,...",30+ days ago,3.8,Administrative Specialist,http://www.indeed.com/rc/clk?jk=c9e1cbfb8a9504d5&fccid=5cb727313a823dd6,3.8,4.3,226,-,4.1,"$55,000+",4.1,55000
ADP,3.7,"Elk Grove Village, IL 60007","
At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",30+ days ago,3.5,IT Operations Infrastructure Support Analyst I,http://www.indeed.com/rc/clk?jk=fea20d7d0a1dc59b&fccid=e996c2d6855fe778,3.5,3.9,"1,649",-,3.8,"$55,000+",3.8,55000
National Safety Council,3.7,"Itasca, IL","
Researches and compiles data facts and creates policy proposals based on data. Demonstrates ability to identify, evaluate and reach out to potential strategic...",30+ days ago,2.9,"Director, Home and Community Injury Prevention",http://www.indeed.com/rc/clk?jk=ddb1953804fcb861&fccid=ecbe3eb18cd28ad1,3.6,3.7,17,-,3.4,"$55,000+",3.8,55000
Medix,3.7,"Skokie, IL","
Chemist (Laboratory Technician / Research Scientist). Performing critical interpretation of analytical data, executing mathematical calculations as outlined in...",30+ days ago,3.4,Chemist,http://www.indeed.com/rc/clk?jk=424dde0bbd1376d2&fccid=afab4e94c69c2acd,3.6,3.8,55,-,3.5,"$55,000+",3.9,55000
University of Chicago,4.1,"Chicago, IL","
Uses benchmark data for planning and incorporates it into analysis and presentations. These scholars pursue this mission through research, the education of...",11 days ago,3.8,Finance Analyst,http://www.indeed.com/rc/clk?jk=e00920f027b6a3e7&fccid=5cb727313a823dd6,3.8,4.3,226,-,4.1,"$55,000+",4.1,55000
ADP,3.7,"Elk Grove Village, IL 60007","
At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",30+ days ago,3.5,IT Command Center Operational Support - Weekend Shift,http://www.indeed.com/rc/clk?jk=cca9d9733ebf93df&fccid=e996c2d6855fe778,3.5,3.9,"1,649",-,3.8,"$55,000+",3.8,55000
Follett Corporation,3.6,"Westchester, IL 60154","
Helps Wholesale Pricings Data Scientist to structure forecasting models so Follett can align it's pricing with Market demand to hit revenue targets....",6 days ago,3.0,.NET / C# - Applications Developer,http://www.indeed.com/rc/clk?jk=c5bd8c6d2565dbbb&fccid=93ee380d6820d8a9,3.6,3.8,450,-,3.2,"$55,000+",3.8,55000
NOW Foods,3.5,"Bloomingdale, IL 60108","
Manages the stability program and provides improvements with involvement from R&D, scientists (method development) and quality management....",30+ days ago,3.5,Quality Control Stability Supervisor,http://www.indeed.com/rc/clk?jk=12018911b11b73fe&fccid=fb2fc8b9945fa723,3.0,3.8,25,-,4.0,"$55,000+",3.6,55000
ADP,3.7,"Elk Grove Village, IL 60007","
At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",30 days ago,3.5,IT infrastructure Support Operations Analyst III - Enterpris...,http://www.indeed.com/rc/clk?jk=90c6ce96e7c013bf&fccid=e996c2d6855fe778,3.5,3.9,"1,649",-,3.8,"$55,000+",3.8,55000
Valence Health,2.9,"Chicago, IL","
We are looking for bright and energetic individuals to fill a data scientist position in our Analytic Services department....",19 days ago,2.3,Data Scientist,http://www.indeed.com/rc/clk?jk=31a10e2ccf371306&fccid=295ae525d65b3dc9,2.5,2.9,-,-,3.0,"$70,000+",2.8,70000
Honeywell,3.7,"McCook, IL","
Providing process control and data acquisition support for the pilot plant and laboratory plant operations....",1 day ago,3.3,Engineer/Scientist Sr R&D 1,http://www.indeed.com/rc/clk?jk=8ce3d24b43cbeb17&fccid=50208b5bf45ee3b8,3.5,3.9,"3,447",-,3.6,"$70,000+",3.7,70000
CCC Information Services Inc.,3.1,"Chicago, IL 60654 (Loop area)","
Data Scientist / Statistician. Is seeking a Data Scientist / Statistician to work on the Data Science team to turn data insights into business recommendations....",27 days ago,3.0,Data Scientist / Statistician,http://www.indeed.com/rc/clk?jk=6b05a28a6a7c89f0&fccid=f289d19694611985,2.9,3.6,28,-,3.8,"$70,000+",3.5,70000
Prosperoware,4.0,"Chicago, IL 60601 (Loop area)","
As a Data Scientist, you will be responsible for extracting data and running simulations to test different models....",30+ days ago,4.0,Data Scientist,http://www.indeed.com/rc/clk?jk=10b397794e6363ed&fccid=fe54a940804ac0ef,4.0,4.7,3,-,4.0,"$70,000+",4.5,70000
